_id,CREATIONDATE,OBJECTDESC,TITLE,CLOSEDDATETIME,CASECLOSUREREASONDESCRIPTION
18,2025-07-31 00:00:00,"2062 S 36TH ST, MILWAUKEE, WI, 53215-2002",Scattered Litter and Debris on Private Property,2025-07-31 00:00:00,SCATTERED TRASH AND GARBAGE NEEDS TO BE REMOVED.
19,2025-07-31 00:00:00,"4517 N 38TH ST, MILWAUKEE, WI, 53209-5913",Broken Branch Down - Not Blocking,2025-07-31 00:00:00,
20,2025-07-31 00:00:00,"5811 W OKLAHOMA AV, MILWAUKEE, WI, 53219-4306",Dead Animal,,dead rabbit on sidewalk on oklahoma side
21,2025-07-31 00:00:00,"6776 N 60TH ST, MILWAUKEE, WI, 53223-5808",Garbage Cart Collection Request: Cart Not at Collection Point,2025-08-01 00:00:00,"not out out weds, request courtesy"
22,2025-07-31 00:00:00,"3550 N MARTIN L KING JR DR, MILWAUKEE, WI, 53212-1460",Collection Schedule - Garbage and Recycling,,
23,2025-07-31 00:00:00,"2864 N MURRAY AV, MILWAUKEE, WI, 53211-3648",Scattered Litter and Debris on Private Property,2025-07-31 00:00:00,Debris in front
24,2025-07-31 00:00:00,"3550 N MARTIN L KING JR DR, MILWAUKEE, WI, 53212-1460",INFO ONLY: Garbage Collection Day Information Request,2025-07-31 00:00:00,
25,2025-07-31 00:00:00,"3550 N MARTIN L KING JR DR, MILWAUKEE, WI, 53212-1460",INFO ONLY: Recycling Collection Day Information Request,2025-07-31 00:00:00,
26,2025-07-31 00:00:00,"3268 N HACKETT AV, MILWAUKEE, WI, 53211-3139",Furniture Discarded on Private Property,,Mattress
27,2025-07-31 00:00:00,"8600 W AUER AV, MILWAUKEE, WI, 53222-3715",Clogged Catch Basin/Surface Flooding,,"The city has been installing new street lights and put a cloth plug over the sewer on the corner, which is causing the street to be flooded from corner-alley"
28,2025-07-31 00:00:00,"2447 N 6TH ST, MILWAUKEE, WI, 53212-2705",INFO ONLY: Forestry Information,2025-07-31 00:00:00,
29,2025-07-31 00:00:00,"3300 W BURLEIGH ST, MILWAUKEE, WI, 53210-1906",Miscellaneous Street Maintenance Request,,"33-35th on burleigh, lots of dips and bumps after road repairs"
30,2025-07-31 00:00:00,6905 N 107TH ST,Traffic Signals,,There is and always was a left turn arrow from Metro Auto Mall to 107th Street. The left turn arrow is not activated and the lights stay red at the intersection all ways for about 20 seconds.
31,2025-07-31 00:00:00,"2854 S 57TH ST, MILWAUKEE, WI, 53219-3145",Collection Schedule - Garbage and Recycling,,
32,2025-07-31 00:00:00,"2854 S 57TH ST, MILWAUKEE, WI, 53219-3145",INFO ONLY: Garbage Collection Day Information Request,2025-07-31 00:00:00,
33,2025-07-31 00:00:00,"2300 W MINERAL ST, MILWAUKEE, WI, 53204-1007",Scattered Litter and Debris on Private Property,2025-07-31 00:00:00,Clark square park
34,2025-07-31 00:00:00,1645 W FOND DU LAC AV,Potholes,,2 potholes in the intersection of N. 17th St. & W. Fond Du Lac Av. Both in NW bound lanes of Fond Du Lac
35,2025-07-31 00:00:00,"1016 W ORCHARD ST, MILWAUKEE, WI, 53204-2864",Interior of Building in Disrepair,2025-07-31 00:00:00,interior
36,2025-07-31 00:00:00,2741 W FOND DU LAC AV,Potholes,,pothole in SE bound lane of Fond Du Lac
37,2025-07-31 00:00:00,"6728 N 108TH ST, MILWAUKEE, WI, 53224-5030",Garbage Cart: Damaged,,large holes on the top of cart. neighbor calling for neighbor
38,2025-07-31 00:00:00,"3252 N 11TH ST, MILWAUKEE, WI, 53206-2829",Broken Branch Down - Blocking Street,2025-07-31 00:00:00,"Tree blocking 100% sidewalk and 75% roadway.
Looks like a tree from someone's backyard took We Energies lines down and damaged a city tree in the process."
39,2025-07-31 00:00:00,"8700 W BURDICK AV, MILWAUKEE, WI, 53227-4529",***FIELD USE ONLY*** Crew-Reported Pothole,2025-07-31 00:00:00,Patch drive way
40,2025-07-31 00:00:00,"3425 W KIEHNAU AV, MILWAUKEE, WI, 53209-3141",Missed Collection: Recycling,2025-08-01 00:00:00,CART WAS OUT ONTIME
41,2025-07-31 00:00:00,"5865 N 75TH ST, MILWAUKEE, WI, 53218-1833",Zoning Violation,,Operating business without permit.
42,2025-07-31 00:00:00,"8029 W MILL RD, MILWAUKEE, WI, 53218-1036",Recycling Cart: Damaged,,"Cart on site damaged, broken wheel."
43,2025-07-31 00:00:00,"4221 S 6TH ST, MILWAUKEE, WI, 53221-0000",Garbage Cart: Damaged,,Holes in cart. Lot f13
44,2025-07-30 00:00:00,"1532 S 23RD ST, MILWAUKEE, WI, 53204-2501",Scattered Litter and Debris on Private Property,,PROHIBITED ITEM AND YARD-WASTE IN BROWN PAPER BAG
45,2025-07-30 00:00:00,"1813 E WINDSOR PL, MILWAUKEE, WI, 53202-1112",Branches or Bushes Encroaching Sidewalk,2025-07-30 00:00:00,Large grasses and shrubs entroaching on sidewalk
46,2025-07-30 00:00:00,"2566 N 49TH ST, MILWAUKEE, WI, 53210-2847","Brush Pickup Request, Less than 2 Cubic Yards, April-November",2025-07-31 00:00:00,
47,2025-07-30 00:00:00,"3218 S INDIANA AV, MILWAUKEE, WI, 53207-3037","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,tree branches
48,2025-07-30 00:00:00,"1901 E NEWBERRY BL, MILWAUKEE, WI, 53211-3657",Missed Collection: Garbage,2025-07-31 00:00:00,Garbage not picked up yesterday. Left it out at the curb.
49,2025-07-30 00:00:00,"3340 N 86TH ST, MILWAUKEE, WI, 53222-3738",Street Light Out,2025-07-30 00:00:00,Streetlights out on 86 th st between Concordia and Townsend
50,2025-07-30 00:00:00,"8518 W TOWNSEND ST, MILWAUKEE, WI, 53222-3748",Scattered Litter and Debris on Private Property,2025-07-31 00:00:00,Neighbor leaves garbage bags outside side door for days at a time. Current bag is ripped into with multiple holes and garbage scattered around it.
51,2025-07-30 00:00:00,"453 E LINCOLN AV, MILWAUKEE, WI, 53207-1756","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,"I just have some various branches and weeds that are packed into an aluminum container and a box,, as well as an old tarp to dispose of!"
52,2025-07-30 00:00:00,"200 S 6TH ST, MILWAUKEE, WI, 53204-0000",Area Dark,,Lots of lights out south of canal st
53,2025-07-30 00:00:00,"103 N 6TH ST, MILWAUKEE, WI, 53203-0000",Area Dark,2025-07-31 00:00:00,Lots of lights out north of canal st
54,2025-07-30 00:00:00,"5375 N SHERMAN BL, MILWAUKEE, WI, 53209-4646",Area Dark,,Between custer and silver spring on sherman
55,2025-07-30 00:00:00,"3937 N SHERMAN BL, MILWAUKEE, WI, 53216-2448",Area Dark,,
56,2025-07-30 00:00:00,"3337 N 94TH ST, MILWAUKEE, WI, 53222-3520","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
57,2025-07-30 00:00:00,"2217 W GRANGE AV, MILWAUKEE, WI, 53221-4240","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
58,2025-07-30 00:00:00,"8232 W WINFIELD AV, MILWAUKEE, WI, 53218-1049",Garbage Cart: Additional,,who it may concern I am requesting another garbage can due to me having lots of trash that I have to sit on the side of the garbage cart that already have
59,2025-07-30 00:00:00,3375 S PENNSYLVANIA AV,"Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
60,2025-07-30 00:00:00,"2254 S 34TH ST, MILWAUKEE, WI, 53215-2354",Scattered Litter and Debris on Private Property,2025-07-30 00:00:00,YARDWASTE AND SCATTERED TRASH BEHIND PROPERTY AND NEEDS TO BE REMOVED.
61,2025-07-30 00:00:00,"2723 S 46TH ST, MILWAUKEE, WI, 53219-3207",Broken Branch Down - Not Blocking,2025-07-30 00:00:00,
62,2025-07-30 00:00:00,"3137 S 34TH ST, MILWAUKEE, WI, 53215-4236",Scattered Litter and Debris on Private Property,,BAG OF YARDWASTE
63,2025-07-30 00:00:00,"3616 W OKLAHOMA AV, MILWAUKEE, WI, 53215-0000",Scattered Litter and Debris on Private Property,,SCATTERED DEBRIS
64,2025-07-30 00:00:00,"1391 N 58TH ST, MILWAUKEE, WI, 53208-0000",Potholes,,"I have lived in the Washington Heights area on and off since 1992 owning a home on 60th street for 14 years. For past 8 years since coming back to Milwaukee and neighbor hood I have resided on the corner of 58th and Vliet in a 4 family rental unit. . 58th street along with both 57th street, and 59th street are  and have been in deplorable condition. Several times i have contacted alderman Murphy before his retirement to report some huge pot holes and generally hazardous conditions of the streets, in particular 58th street from Vliet street south to the entrance to Hawthorne Glen park. Alderman Murphy always responded by sending out a DPW crew to patch up the worst of the pot holes and terrible condition of 58th street only to have the patches quickly disappear or just placing a band aide on a much more severe general street condition. There is no way to drive down 58th south from Vliet street avoiding multiple pot holes and generally terrible road surface. Are there any plans to at least consider the less costly resurfacing process that the city has employed on certain streets in the city to apply a smoother and sager driving service without complete street, curb, sidewalk replacement. Its truly a situation that has gone on far too long and I will begin to gather signatures or testimonies from my neighbors to validate my concerns. Would be grateful for any response from Alderman or the DPW division responsible for such matters. Thank You. Steve Hooser 1391 n. 58th St. #1 414-975-4564 email, stephenhooser53@gmail.com 
the actual streets are 57, 58th, and 59th streets from vliet south to Mckinley."
65,2025-07-30 00:00:00,"6097 N 39TH ST, MILWAUKEE, WI, 53209-3507",Collection Schedule - Garbage and Recycling,,lelanash@hotmail.com
66,2025-07-30 00:00:00,"3131 S 32ND ST, MILWAUKEE, WI, 53215-4232",Scattered Litter and Debris on Private Property,,BAGGED YARD-WASTE
67,2025-07-30 00:00:00,"3214 S 30TH ST, MILWAUKEE, WI, 53215-4316",Scattered Litter and Debris on Private Property,,BAGGEED YARD-WASTE
68,2025-07-30 00:00:00,"1724 W MEINECKE AV, MILWAUKEE, WI, 53206-2037",Missed Collection: Garbage,2025-07-31 00:00:00,"I work 3rd shift and usually have no problem getting my can in the alley, but on Tuesday, the collectors ran a little earlier and I missed them. I'm so sorry, but my can won't make it another week. Please may I schedule a pickup this week?"
69,2025-07-30 00:00:00,"3169 S 29TH ST, MILWAUKEE, WI, 53215-4309",Scattered Litter and Debris on Private Property,,BAG OF YARDWASTE
70,2025-07-30 00:00:00,"2223 E MORGAN AV, MILWAUKEE, WI, 53207-3752","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,6-7 yard waste bags on side of garage
71,2025-07-30 00:00:00,"6706 W CLEVELAND AV, MILWAUKEE, WI, 53219-2663",Scattered Litter and Debris on Private Property,,BAG OF YARD-WASTE
72,2025-07-30 00:00:00,"2548 S 64TH ST, MILWAUKEE, WI, 53219-2629",Scattered Litter and Debris on Private Property,,BAG OF YARD-WASTE
73,2025-07-30 00:00:00,"6401 W HARRISON AV, MILWAUKEE, WI, 53219-2670",Scattered Litter and Debris on Private Property,,BAG OF YARD-WASTE
74,2025-07-30 00:00:00,"8918 W BURLEIGH ST, MILWAUKEE, WI, 53222-3630",INFO ONLY: Garbage Collection Day Information Request,2025-07-30 00:00:00,wcb after 3pm
75,2025-07-30 00:00:00,"2972 N 40TH ST, MILWAUKEE, WI, 53210-1808",Weeds and Tall Grass Complaint,,Tall grass  Front & rear property
76,2025-07-30 00:00:00,"1439 W MADISON ST, MILWAUKEE, WI, 53204-2226",INFO ONLY: Garbage Disposal Info Request,2025-07-30 00:00:00,"private property garbage on front lawn, resident to bag it up"
77,2025-07-30 00:00:00,"2133 S 10TH ST, MILWAUKEE, WI, 53215-2746",Scattered Litter and Debris on Private Property,,SCATTERED TRASH
78,2025-07-29 00:00:00,"3217 N 39TH ST, MILWAUKEE, WI, 53216-3608",Exterior of Building in Disrepair,2025-07-29 00:00:00,New owner. Previous owner had exterior code violations.
79,2025-07-29 00:00:00,"4686 W SCRANTON PL, MILWAUKEE, WI, 53216-2957",Garbage Supervisor Callback,,Want G-Sup'v call per Rec 5347327 from 7/21 & Rec 5336281 from 7/7- Still no g-cart. Has none for 1 month. Causing lots of issues. Please expedite and call to discuss when to expect.  Put addr on too.
80,2025-07-29 00:00:00,"2136 W ATKINSON AV, MILWAUKEE, WI, 53209-6706",Bulky Pickup & San Inspector Notification,,Illegally dumped. 5 mattresses
81,2025-07-29 00:00:00,"3404 S 71ST ST, MILWAUKEE, WI, 53219-3903",Recycling Supervisor Notification,2025-07-30 00:00:00,"Initial request 5354219, not completed as resolution states. Please send a crew to collect as soon as possible."
82,2025-07-29 00:00:00,"2730 S 52ND PL, MILWAUKEE, WI, 53219-3261",Other Animal Problem,,tenant dumping large quantities of nuts next to his driveway which is attracting an opposum and squirrels.
83,2025-07-29 00:00:00,"6041 N 37TH ST, MILWAUKEE, WI, 53209-3662",Recycling Cart: Delete,,extra carts not needed.
84,2025-07-29 00:00:00,"219 E BOLIVAR AV, MILWAUKEE, WI, 53207-5015",Broken Branch Down - Not Blocking,2025-07-29 00:00:00,"Large tree branch fell into our front yard last night. The branch is only slightly blocking the sidewalk but is mostly in the front yard. This came from a tree on city property that has branches hanging over our residence as well, and may need an evaluation for pruning."
85,2025-07-29 00:00:00,"107 E LINCOLN AV, MILWAUKEE, WI, 53207-1541",Settlement,,"Significant depression near the entrance to the new apartment construction, across from MPD stables"
86,2025-07-29 00:00:00,"2704 ADJ S CHASE AV, MILWAUKEE, WI, 53207-0000",Construction Concerns,2025-07-30 00:00:00,"There is a barricade in the right lane of Chase avenue, going south, that has continued to be present for the last 2 months. Could someone please finish paving the road and remove the barricade? I believe this was related to a sewer/pipe problem initially, but nothing happened for quite a while to resolve the road and make it safer for drivers."
87,2025-07-29 00:00:00,"8105 N 105TH ST, MILWAUKEE, WI, 53224-2603",Missed Collection: Additional Items,,"My garbage was not collected yesterday.  It was pushed out to the curb, however, it was not collected."
88,2025-07-29 00:00:00,"3223 W WALNUT ST, MILWAUKEE, WI, 53208-2058",Branches or Bushes Encroaching Sidewalk,,This is my second request to have the tree in front of my house pruned. It has grown over the sidewalk and is now touching my house and into my gutter. I received a tag on my door over a month ago stating the tree would be pruned.
89,2025-07-29 00:00:00,"2833 S CALIFORNIA ST, MILWAUKEE, WI, 53207-2224",Damaged City Tree,,Damaged tree and dead branch
90,2025-07-29 00:00:00,"4749 N 52ND ST, MILWAUKEE, WI, 53218-5007",Garbage Cart Collection Request: Cart Not at Collection Point,,
91,2025-07-29 00:00:00,"4627 W HALE PL, MILWAUKEE, WI, 53216-3324","Brush Pickup Request, Less than 2 Cubic Yards, April-November",2025-07-30 00:00:00,
92,2025-07-29 00:00:00,"3521 S 87TH ST, MILWAUKEE, WI, 53228-1513",Scattered Litter and Debris on Private Property,,YARD-WASTE IN BAG
93,2025-07-29 00:00:00,"1608 S 31ST ST, MILWAUKEE, WI, 53215-1933",Scattered Litter and Debris on Private Property,2025-07-30 00:00:00,CONSTRUUCTION AND WOOD
94,2025-07-29 00:00:00,"2201 N 41ST ST, MILWAUKEE, WI, 53208-1304",***FIELD USE ONLY*** Crew-Reported Pothole,2025-07-29 00:00:00,
95,2025-07-29 00:00:00,"1740 W PIERCE ST, MILWAUKEE, WI, 53204-0000",Zoning Violation,2025-07-29 00:00:00,Water leaking in at window
96,2025-07-29 00:00:00,"2862 N 87TH ST, MILWAUKEE, WI, 53222-4731","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,"Trash consist of: 2 office chairs. bin of curtain rods, Ironing board, utility rack, box fan, and plant stand"
97,2025-07-29 00:00:00,"923 S 24TH ST, MILWAUKEE, WI, 53204-1006",Weeds and Tall Grass Complaint,2025-07-29 00:00:00,
98,2025-07-29 00:00:00,"4301 S HOWELL AV, Milwaukee, WISCONSIN, 53207",Traffic Signals,2025-07-29 00:00:00,"When going east or west on bolivar, the red light takes at times over 5 minutes to switch so that bolivar traffic can go straight across Howell or turn left into Howell. People have been going on red, if traffic is clear, because it takes so long."
99,2025-07-29 00:00:00,"3223 S INDIANA AV, MILWAUKEE, WI, 53207-3036","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
100,2025-07-29 00:00:00,"3218 S INDIANA AV, MILWAUKEE, WI, 53207-3037","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,2cu
101,2025-07-28 00:00:00,"8111 W BURLEIGH ST, MILWAUKEE, WI, 53222-4801","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
102,2025-07-28 00:00:00,"3071 N 81ST ST, MILWAUKEE, WI, 53222-4809","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,"Third request, please pick up ASAP"
103,2025-07-28 00:00:00,"3359 S 20TH ST, MILWAUKEE, WI, 53215-4915",Street Light Out,2025-07-29 00:00:00,
104,2025-07-28 00:00:00,"2512 N 49TH ST, MILWAUKEE, WI, 53210-2847","Brush Pickup Request, Less than 2 Cubic Yards, April-November",2025-07-29 00:00:00,
105,2025-07-28 00:00:00,"220 S 65TH ST, MILWAUKEE, WI, 53214-1717",Bulky Pickup & San Inspector Notification,,
106,2025-07-28 00:00:00,"1566 S 24TH ST, MILWAUKEE, WI, 53204-2505",Scattered Litter and Debris on Private Property,,SCATTERED TRASH
107,2025-07-28 00:00:00,"1556 S 24TH ST, MILWAUKEE, WI, 53204-2505",Scattered Litter and Debris on Private Property,,SCATTERED TRASH
108,2025-07-28 00:00:00,"2317 W ORCHARD ST, MILWAUKEE, WI, 53204-2535",Scattered Litter and Debris on Private Property,2025-07-29 00:00:00,SCATTERED CONSTRUCTIONAL MATERIAL
109,2025-07-28 00:00:00,"2028 W MITCHELL ST, MILWAUKEE, WI, 53204-3017",Scattered Litter and Debris on Private Property,,SCATTERED TRASH
110,2025-07-28 00:00:00,"7369 N 95TH ST, MILWAUKEE, WI, 53224-3954","Brush Pickup Request, Less than 2 Cubic Yards, April-November",2025-07-28 00:00:00,Branches
111,2025-07-28 00:00:00,"2741 S 44TH ST, MILWAUKEE, WI, 53219-3203","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,Brush and sticks
112,2025-07-28 00:00:00,"3401 S 88TH ST, MILWAUKEE, WI, 53227-4520",Scattered Litter and Debris on Private Property,,CONSTRUCTION DEBRIS
113,2025-07-28 00:00:00,"1100 S 11TH ST, MILWAUKEE, WI, 53204-2206",Restaurant Complaint,,Taqueria Elcabrito has trash dumpster and grease container in alley public right of way.  Containers frequently over flow onto the alley creating a mess.  Please instruct them to move containers in to one of their TWO private parking lots.  Trash collection occurs as early as 5:30am and violates City Ord CHAPTER 80 NUISANCES which doesn't allow collection before 7am.  Their phone number is:  414-385-9000.
114,2025-07-28 00:00:00,"8435 W CONCORDIA AV, MILWAUKEE, WI, 53222-3721",Junk Vehicle on Private Property,2025-07-28 00:00:00,Vehicle with front right damage has been sitting on the street for over 3 weeks
115,2025-07-28 00:00:00,"5446 N 53RD ST, MILWAUKEE, WI, 53218-3321","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,2cu
116,2025-07-27 00:00:00,"2505 N 17TH ST, MILWAUKEE, WI, 53206-2021",Weeds and Tall Grass Complaint,,Tall grass & Tall weeds
117,2025-07-27 00:00:00,"3445 S IOWA AV, MILWAUKEE, WI, 53207-3650","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
118,2025-07-27 00:00:00,"2914 N 40TH ST, MILWAUKEE, WI, 53210-1808",Dead Animal,,Dead dog in the alley by the garbage covered in a fed and black bag.
119,2025-07-27 00:00:00,8650 W DALLAS ST,Clogged Catch Basin/Surface Flooding,,The sewer is clogged up and does not drain
120,2025-07-27 00:00:00,"10502 W HAMPTON AV, MILWAUKEE, WI, 53225-3911",Dead Animal,,Dead cat at the intersection of N. 105th And W. Hampton Ave in the left turn lane on West bound lane on Hampton Ave.
121,2025-07-27 00:00:00,"2002 S 32ND ST, MILWAUKEE, WI, 53215-2109",Potholes,,Large pothole in front of house
122,2025-07-27 00:00:00,"2330 W RAMSEY AV, MILWAUKEE, WI, 53221-4906",Settlement,,Report of a sinkhole.
123,2025-07-27 00:00:00,"5937 N 35TH ST, MILWAUKEE, WI, 53209-0000",Broken Branch Down - Blocking Street,,Operator left a detailed message with N. Abdullah.
124,2025-07-27 00:00:00,"3263 S 67TH ST, MILWAUKEE, WI, 53219-4218","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,brush pickup please.
125,2025-07-27 00:00:00,"1933 N 24TH PL, MILWAUKEE, WI, 53205-1431",Broken Branch Down - Not Blocking,,Request for pick up of branches near alley.
126,2025-07-27 00:00:00,"3022 N FARWELL AV, MILWAUKEE, WI, 53211-3306",Bulky Pickup & San Inspector Notification,,Queen mattress
127,2025-07-27 00:00:00,"2830 N 51ST ST, MILWAUKEE, WI, 53210-1601",Broken Branch Down - Blocking Street,,Report of a large tree branch down blocking the alley. Operator contacted A. Unger.
128,2025-07-27 00:00:00,"1011 N 17TH ST, MILWAUKEE, WI, 53233-0000",Branches or Bushes Blocking Sign,,The middle level of the bushes in the median on 17th just north of State street really block seeing traffic traveling south (which are often moving very fast) when trying to make a left turn onto state street from northbound 17th street which creates a significant safety concern when trying to decide if it’s safe to turn or not at this intersection.
129,2025-07-27 00:00:00,"3719 N 37TH ST, MILWAUKEE, WI, 53216-3007","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,Trees fencing and fire pit
130,2025-07-27 00:00:00,"3223 N COLONIAL DR, MILWAUKEE, WI, 53222-3435",Weeds and Tall Grass Complaint,,I’m not sure if this is the homeowner’s responsibility but last fall the city re-did the sidewalks and street but left this grassy area unplanted at the end of the project and the homeowner never replanted grass either and now there is 5-6 foot plus weeds at the end of this lot
131,2025-07-27 00:00:00,"3225 S 42ND ST, MILWAUKEE, WI, 53215-4032",Street Light Cycling,2025-07-28 00:00:00,street light going on and off at corner
132,2025-07-27 00:00:00,"2120 N 37TH ST, MILWAUKEE, WI, 53208-1325",Exterior of Building in Disrepair,,"Grass is too high 2037 ,2039 n. 39th  st"
133,2025-07-27 00:00:00,"5557 S 26TH ST, MILWAUKEE, WI, 53221-4101",Bump in City Street or Alley,,"Few bad potholes in our street damaging our cars 
5557 S 26 street getting so bad for the past few years coming back every springs .. Please fix it properly .. Thank You.."
134,2025-07-27 00:00:00,"1501 E BRADY ST, Milwaukee, WISCONSIN, 53202",Traffic Signals,,"Cross Walk buttons have been broken for a while. One of them is missing completely. Intersection of Brady St and Farwell Ave. Another thing I have noticed is that the cross traffic going East and West on Brady should be released one side at a time. That will help traffic flow through more safely and efficiently. Please consider giving that a try for 30 days to see if it helps - called traffic control, 5353115 and 5353116"
135,2025-07-27 00:00:00,"1916 W MELVINA ST, MILWAUKEE, WI, 53206-2464",Damaged City Tree,,The tree is leaning towards me and the neighbors cars to the point it is messing up the side walk. These two trees had been messing up the side walk since we living here for years. its hard for my kids ride their bikes
136,2025-07-27 00:00:00,"1918 W MELVINA ST, MILWAUKEE, WI, 53206-2464",Pothole in Alley,,pop holes had been messing up in the alley for years. flatting tires to make it difficult to get out and in during the winter and seasons. Even walking on it and seeing it is just terrible
137,2025-07-27 00:00:00,"3636 S PINE AV, MILWAUKEE, WI, 53207-3434","Brush Pickup Request, Less than 2 Cubic Yards, April-November",,
138,2025-07-27 00:00:00,"5438 N 27TH ST, MILWAUKEE, WI, 53209-0000",City Tree Down,,city tree down blocking the sidewalk
139,2025-07-27 00:00:00,"2222 N SHERMAN BL, MILWAUKEE, WI, 53208-1214",Miscellaneous Street Maintenance Request,,"Accident Debris in roadway, request to clean"
140,2025-07-27 00:00:00,"8221 W LORRAINE PL, MILWAUKEE, WI, 53222-4848",Miscellaneous Street Maintenance Request,,Looks like there's a Watermain break on Lorraine lots of water when I pulled out of my alley
141,2025-07-27 00:00:00,"118 N 76TH ST, MILWAUKEE, WI, 53213-3530",Weeds and Tall Grass on Median in Boulevard,,Ornamental grass in median blocking view from oncoming traffic when turning left into Pius XI. Can’t see vehicles coming until they are ~20 ft from intersection. Directly in front of Pius XI high school.
142,2025-07-27 00:00:00,"2044 N 55TH ST, MILWAUKEE, WI, 53208-1670",Missed Collection: Garbage,,Missed Garbage Collection on scheduled pickup 7/25.  Carts were placed out on Thursday 7/24.  Other neighbors had their carts emptied. Why us?
143,2025-07-27 00:00:00,"4356 N 84TH ST, MILWAUKEE, WI, 53222-0000",Backwater,2025-07-28 00:00:00,SEWAGE BACKING UP IN BASEMENT
