_id,CREATIONDATE,ADDRESS,CATEGORY,CLOSEDDATETIME,DESCRIPTION,DAYS_TO_CLOSE,CLEANED_ADDRESS,geometry,OBJECTID,NEIGHBORHD,WORKGROUP,Status
11,2025-07-31T00:00:00Z,"4421 N 62ND ST, MILWAUKEE, WI, 53218-5545",PRIVATE TREE PROBLEMS OR QUESTIONS,2025-07-31T00:00:00Z,OUR NEIGHBOR'S EVERGREEN TREES ARE PROTRUDING THROUGH OUR BACKYARD FENCE AND I ASKED HIM TO TRIM OR REMOVE THEM. THE TREES ARE OVER SEVEN FEET TALL. HIS NAME IS DOUG JONES AND HE LIVE AT 4421 N. 62ND STREET. DOUG'S PHONE NUMBER IS 414 461-9696. HE HAS MADE PROMISES TO MANAGE THE TREES BUT HE HAS NOT DONE SO NOR HAS HE KEPT HIS PROMISES. HE IS CURRENTLY TRYING TO SALE HIS HOME AND MOVE OUT OF TOWN. MY NAME IS DAVID FAYNE AND YOU CAN REACH ME AT 414 466-2445 OR 414 350-0979.,0,"4421 N 62ND ST, MILWAUKEE, WI, 53218-5545","c(-87.989704752336, 43.09778233203)",19,CAPITOL HEIGHTS,4,CLOSED
12,2025-07-31T00:00:00Z,"2447 N 6TH ST, MILWAUKEE, WI, 53212-2705",BROKEN BRANCH DOWN - BLOCKING DRIVEWAY,2025-07-31T00:00:00Z,OPERATOR CONTACTED A. UNGER.,0,"2447 N 6TH ST, MILWAUKEE, WI, 53212-2705","c(-87.919067269153, 43.063183847379)",57,HARAMBEE,3,CLOSED
13,2025-07-31T00:00:00Z,"715 E POTTER AV, MILWAUKEE, WI, 53207-2118","BRUSH PICKUP REQUEST, LESS THAN 2 CUBIC YARDS, APRIL-NOVEMBER",2025-08-01T00:00:00Z,NA,1,"715 E POTTER AV, MILWAUKEE, WI, 53207-2118","c(-87.89987715329, 42.996541179249)",8,BAY VIEW,6,CLOSED
14,2025-07-31T00:00:00Z,"2483 S 6TH ST, MILWAUKEE, WI, 53215-3224",SCATTERED LITTER AND DEBRIS ON PRIVATE PROPERTY,NA,SCATTERED DEBRIS AND GARBAGE BAGS ON PROPERTY AND NEEDS TO BE REMOVE.,6,"2483 S 6TH ST, MILWAUKEE, WI, 53215-3224","c(-87.919061150364, 42.999668970238)",86,LINCOLN VILLAGE,5,OPEN
15,2025-07-31T00:00:00Z,1734 E NORTH AV,SETTLEMENT,NA,2 AREAS OF PAVEMENT SETTLEMENT GETTING VERY DEEP. LOCATED IN WESTBOUND TRAFFIC LANE.,6,"1734 E NORTH AV, MILWAUKEE, WI","c(-87.888496852186, 43.060210565914)",136,RIVERSIDE PARK,6,OPEN
16,2025-07-31T00:00:00Z,"1311 S 12TH ST, MILWAUKEE, WI, 53204-2702",SCATTERED LITTER AND DEBRIS ON PRIVATE PROPERTY,NA,WOOD AND FENCING ON CURB AND ON PROPERTY IN THE FRONT AND NEEDS TO BE REMOVED.,6,"1311 S 12TH ST, MILWAUKEE, WI, 53204-2702","c(-87.926996968653, 43.017749783126)",173,WALKER'S POINT,5,OPEN
17,2025-07-31T00:00:00Z,"2977 S 43RD ST, MILWAUKEE, WI, 53219-3402",SCATTERED LITTER AND DEBRIS ON PRIVATE PROPERTY,NA,"CONSTRUCTIONAL MATERIAL BEHIND PROPERTY, NEEDS TO BE REMOVED.",6,"2977 S 43RD ST, MILWAUKEE, WI, 53219-3402","c(-87.968282200381, 42.990354161239)",73,JACKSON PARK,6,OPEN
18,2025-07-31T00:00:00Z,"2062 S 36TH ST, MILWAUKEE, WI, 53215-2002",SCATTERED LITTER AND DEBRIS ON PRIVATE PROPERTY,2025-07-31T00:00:00Z,SCATTERED TRASH AND GARBAGE NEEDS TO BE REMOVED.,0,"2062 S 36TH ST, MILWAUKEE, WI, 53215-2002","c(-87.958774775247, 43.007113525182)",15,BURNHAM PARK,6,CLOSED
19,2025-07-31T00:00:00Z,"4517 N 38TH ST, MILWAUKEE, WI, 53209-5913",BROKEN BRANCH DOWN - NOT BLOCKING,2025-07-31T00:00:00Z,NA,0,"4517 N 38TH ST, MILWAUKEE, WI, 53209-5913","c(-87.960758268815, 43.09934748481)",124,OLD NORTH MILWAUKEE,4,CLOSED
20,2025-07-31T00:00:00Z,"5811 W OKLAHOMA AV, MILWAUKEE, WI, 53219-4306",DEAD ANIMAL,NA,DEAD RABBIT ON SIDEWALK ON OKLAHOMA SIDE,6,"5811 W OKLAHOMA AV, MILWAUKEE, WI, 53219-4306","c(-87.98619927279, 42.987866789563)",91,LYONS PARK,6,OPEN
21,2025-07-31T00:00:00Z,"6776 N 60TH ST, MILWAUKEE, WI, 53223-5808",GARBAGE CART COLLECTION REQUEST: CART NOT AT COLLECTION POINT,2025-08-01T00:00:00Z,"NOT OUT OUT WEDS, REQUEST COURTESY",1,"6776 N 60TH ST, MILWAUKEE, WI, 53223-5808","c(-87.985318334766, 43.14110180975)",49,GRACELAND,6,CLOSED
22,2025-07-31T00:00:00Z,"3550 N MARTIN L KING JR DR, MILWAUKEE, WI, 53212-1460",COLLECTION SCHEDULE - GARBAGE AND RECYCLING,NA,NA,6,"3550 N MARTIN L KING JR DR, MILWAUKEE, WI, 53212-1460","c(-87.918701734356, 43.082853240465)",182,WILLIAMSBURG,4,OPEN
23,2025-07-31T00:00:00Z,"2864 N MURRAY AV, MILWAUKEE, WI, 53211-3648",SCATTERED LITTER AND DEBRIS ON PRIVATE PROPERTY,2025-07-31T00:00:00Z,DEBRIS IN FRONT,0,"2864 N MURRAY AV, MILWAUKEE, WI, 53211-3648","c(-87.885117124713, 43.070870890781)",166,UPPER EAST SIDE,6,CLOSED
24,2025-07-31T00:00:00Z,"3550 N MARTIN L KING JR DR, MILWAUKEE, WI, 53212-1460",INFO ONLY: GARBAGE COLLECTION DAY INFORMATION REQUEST,2025-07-31T00:00:00Z,NA,0,"3550 N MARTIN L KING JR DR, MILWAUKEE, WI, 53212-1460","c(-87.918701734356, 43.082853240465)",182,WILLIAMSBURG,4,CLOSED
25,2025-07-31T00:00:00Z,"3550 N MARTIN L KING JR DR, MILWAUKEE, WI, 53212-1460",INFO ONLY: RECYCLING COLLECTION DAY INFORMATION REQUEST,2025-07-31T00:00:00Z,NA,0,"3550 N MARTIN L KING JR DR, MILWAUKEE, WI, 53212-1460","c(-87.918701734356, 43.082853240465)",182,WILLIAMSBURG,4,CLOSED
26,2025-07-31T00:00:00Z,"3268 N HACKETT AV, MILWAUKEE, WI, 53211-3139",FURNITURE DISCARDED ON PRIVATE PROPERTY,NA,MATTRESS,6,"3268 N HACKETT AV, MILWAUKEE, WI, 53211-3139","c(-87.876429282071, 43.077169932927)",31,DOWNER WOODS,6,OPEN
27,2025-07-31T00:00:00Z,"8600 W AUER AV, MILWAUKEE, WI, 53222-3715",CLOGGED CATCH BASIN/SURFACE FLOODING,NA,"THE CITY HAS BEEN INSTALLING NEW STREET LIGHTS AND PUT A CLOTH PLUG OVER THE SEWER ON THE CORNER, WHICH IS CAUSING THE STREET TO BE FLOODED FROM CORNER-ALLEY",6,"8600 W AUER AV, MILWAUKEE, WI, 53222-3715","c(-88.020297022546, 43.07728044832)",79,KOPS PARK,6,OPEN
28,2025-07-31T00:00:00Z,"2447 N 6TH ST, MILWAUKEE, WI, 53212-2705",INFO ONLY: FORESTRY INFORMATION,2025-07-31T00:00:00Z,NA,0,"2447 N 6TH ST, MILWAUKEE, WI, 53212-2705","c(-87.919067269153, 43.063183847379)",57,HARAMBEE,3,CLOSED
29,2025-07-31T00:00:00Z,"3300 W BURLEIGH ST, MILWAUKEE, WI, 53210-1906",MISCELLANEOUS STREET MAINTENANCE REQUEST,NA,"33-35TH ON BURLEIGH, LOTS OF DIPS AND BUMPS AFTER ROAD REPAIRS",6,"3300 W BURLEIGH ST, MILWAUKEE, WI, 53210-1906","c(-87.955362586284, 43.075474357733)",140,ROOSEVELT GROVE,4,OPEN
30,2025-07-31T00:00:00Z,6905 N 107TH ST,TRAFFIC SIGNALS,NA,THERE IS AND ALWAYS WAS A LEFT TURN ARROW FROM METRO AUTO MALL TO 107TH STREET. THE LEFT TURN ARROW IS NOT ACTIVATED AND THE LIGHTS STAY RED AT THE INTERSECTION ALL WAYS FOR ABOUT 20 SECONDS.,6,"6905 N 107TH ST, MILWAUKEE, WI","c(-88.045237290263, 43.14290965156)",64,HERITAGE HEIGHTS,6,OPEN
31,2025-07-31T00:00:00Z,"2854 S 57TH ST, MILWAUKEE, WI, 53219-3145",COLLECTION SCHEDULE - GARBAGE AND RECYCLING,NA,NA,6,"2854 S 57TH ST, MILWAUKEE, WI, 53219-3145","c(-87.98482371866, 42.992403871842)",180,WHITE MANOR,6,OPEN
32,2025-07-31T00:00:00Z,"2854 S 57TH ST, MILWAUKEE, WI, 53219-3145",INFO ONLY: GARBAGE COLLECTION DAY INFORMATION REQUEST,2025-07-31T00:00:00Z,NA,0,"2854 S 57TH ST, MILWAUKEE, WI, 53219-3145","c(-87.98482371866, 42.992403871842)",180,WHITE MANOR,6,CLOSED
33,2025-07-31T00:00:00Z,"2300 W MINERAL ST, MILWAUKEE, WI, 53204-1007",SCATTERED LITTER AND DEBRIS ON PRIVATE PROPERTY,2025-07-31T00:00:00Z,CLARK SQUARE PARK,0,"2300 W MINERAL ST, MILWAUKEE, WI, 53204-1007","c(-87.942651430118, 43.021332585728)",21,CLARKE SQUARE,5,CLOSED
34,2025-07-31T00:00:00Z,1645 W FOND DU LAC AV,POTHOLES,NA,2 POTHOLES IN THE INTERSECTION OF N. 17TH ST. & W. FOND DU LAC AV. BOTH IN NW BOUND LANES OF FOND DU LAC,6,"1645 W FOND DU LAC AV, MILWAUKEE, WI","c(-87.933564776524, 43.056539512731)",163,TRIANGLE,2,OPEN
35,2025-07-31T00:00:00Z,"1016 W ORCHARD ST, MILWAUKEE, WI, 53204-2864",INTERIOR OF BUILDING IN DISREPAIR,2025-07-31T00:00:00Z,INTERIOR,0,"1016 W ORCHARD ST, MILWAUKEE, WI, 53204-2864","c(-87.924597481231, 43.016200849328)",68,HISTORIC MITCHELL STREET,5,CLOSED
36,2025-07-31T00:00:00Z,2741 W FOND DU LAC AV,POTHOLES,NA,POTHOLE IN SE BOUND LANE OF FOND DU LAC,6,"2741 W FOND DU LAC AV, MILWAUKEE, WI","c(-87.948463022685, 43.068052014833)",128,AMANI,2,OPEN
37,2025-07-31T00:00:00Z,"6728 N 108TH ST, MILWAUKEE, WI, 53224-5030",GARBAGE CART: DAMAGED,NA,LARGE HOLES ON THE TOP OF CART. NEIGHBOR CALLING FOR NEIGHBOR,6,"6728 N 108TH ST, MILWAUKEE, WI, 53224-5030","c(-88.046598093606, 43.139732081042)",64,HERITAGE HEIGHTS,6,OPEN
38,2025-07-31T00:00:00Z,"3252 N 11TH ST, MILWAUKEE, WI, 53206-2829",BROKEN BRANCH DOWN - BLOCKING STREET,2025-07-31T00:00:00Z,"TREE BLOCKING 100% SIDEWALK AND 75% ROADWAY.
LOOKS LIKE A TREE FROM SOMEONE'S BACKYARD TOOK WE ENERGIES LINES DOWN AND DAMAGED A CITY TREE IN THE PROCESS.",0,"3252 N 11TH ST, MILWAUKEE, WI, 53206-2829","c(-87.92470577542, 43.077819278966)",10,BORCHERT FIELD,2,CLOSED
39,2025-07-31T00:00:00Z,"8700 W BURDICK AV, MILWAUKEE, WI, 53227-4529",***FIELD USE ONLY*** CREW-REPORTED POTHOLE,2025-07-31T00:00:00Z,PATCH DRIVE WAY,0,"8700 W BURDICK AV, MILWAUKEE, WI, 53227-4529","c(-88.021344508986, 42.98579457355)",35,EUCLID PARK,6,CLOSED
40,2025-07-31T00:00:00Z,"3425 W KIEHNAU AV, MILWAUKEE, WI, 53209-3141",MISSED COLLECTION: RECYCLING,2025-08-01T00:00:00Z,CART WAS OUT ONTIME,1,"3425 W KIEHNAU AV, MILWAUKEE, WI, 53209-3141","c(-87.954906946027, 43.136647834041)",37,FAIRFIELD,6,CLOSED
41,2025-07-31T00:00:00Z,"5865 N 75TH ST, MILWAUKEE, WI, 53218-1833",ZONING VIOLATION,NA,OPERATING BUSINESS WITHOUT PERMIT.,6,"5865 N 75TH ST, MILWAUKEE, WI, 53218-1833","c(-88.004996696489, 43.124691174889)",149,SILVER SPRING,6,OPEN
42,2025-07-31T00:00:00Z,"8029 W MILL RD, MILWAUKEE, WI, 53218-1036",RECYCLING CART: DAMAGED,NA,"CART ON SITE DAMAGED, BROKEN WHEEL.",6,"8029 W MILL RD, MILWAUKEE, WI, 53218-1036","c(-88.011656370019, 43.133795011385)",99,MENOMONEE RIVER HILLS,6,OPEN
43,2025-07-31T00:00:00Z,"4221 S 6TH ST, MILWAUKEE, WI, 53221-0000",GARBAGE CART: DAMAGED,NA,HOLES IN CART. LOT F13,6,"4221 S 6TH ST, MILWAUKEE, WI, 53221-0000","c(-87.922230096498, 42.967953566913)",183,WILSON PARK,6,OPEN
44,2025-07-30T00:00:00Z,"1532 S 23RD ST, MILWAUKEE, WI, 53204-2501",SCATTERED LITTER AND DEBRIS ON PRIVATE PROPERTY,NA,PROHIBITED ITEM AND YARD-WASTE IN BROWN PAPER BAG,7,"1532 S 23RD ST, MILWAUKEE, WI, 53204-2501","c(-87.941990852329, 43.015233829159)",116,MUSKEGO WAY,5,OPEN
45,2025-07-30T00:00:00Z,"1813 E WINDSOR PL, MILWAUKEE, WI, 53202-1112",BRANCHES OR BUSHES ENCROACHING SIDEWALK,2025-07-30T00:00:00Z,LARGE GRASSES AND SHRUBS ENTROACHING ON SIDEWALK,0,"1813 E WINDSOR PL, MILWAUKEE, WI, 53202-1112","c(-87.887575369276, 43.057308007524)",90,LOWER EAST SIDE,6,CLOSED
46,2025-07-30T00:00:00Z,"2566 N 49TH ST, MILWAUKEE, WI, 53210-2847","BRUSH PICKUP REQUEST, LESS THAN 2 CUBIC YARDS, APRIL-NOVEMBER",2025-07-31T00:00:00Z,NA,1,"2566 N 49TH ST, MILWAUKEE, WI, 53210-2847","c(-87.974626127619, 43.065758474667)",167,UPTOWN,1,CLOSED
47,2025-07-30T00:00:00Z,"3218 S INDIANA AV, MILWAUKEE, WI, 53207-3037","BRUSH PICKUP REQUEST, LESS THAN 2 CUBIC YARDS, APRIL-NOVEMBER",NA,TREE BRANCHES,7,"3218 S INDIANA AV, MILWAUKEE, WI, 53207-3037","c(-87.875582709851, 42.98609414277)",39,FERNWOOD,6,OPEN
48,2025-07-30T00:00:00Z,"1901 E NEWBERRY BL, MILWAUKEE, WI, 53211-3657",MISSED COLLECTION: GARBAGE,2025-07-31T00:00:00Z,GARBAGE NOT PICKED UP YESTERDAY. LEFT IT OUT AT THE CURB.,1,"1901 E NEWBERRY BL, MILWAUKEE, WI, 53211-3657","c(-87.88650676044, 43.068969749412)",115,MURRAY HILL,6,CLOSED
49,2025-07-30T00:00:00Z,"3340 N 86TH ST, MILWAUKEE, WI, 53222-3738",STREET LIGHT OUT,2025-07-30T00:00:00Z,STREETLIGHTS OUT ON 86 TH ST BETWEEN CONCORDIA AND TOWNSEND,0,"3340 N 86TH ST, MILWAUKEE, WI, 53222-3738","c(-88.019822606826, 43.079788900483)",79,KOPS PARK,6,CLOSED
50,2025-07-30T00:00:00Z,"8518 W TOWNSEND ST, MILWAUKEE, WI, 53222-3748",SCATTERED LITTER AND DEBRIS ON PRIVATE PROPERTY,2025-07-31T00:00:00Z,NEIGHBOR LEAVES GARBAGE BAGS OUTSIDE SIDE DOOR FOR DAYS AT A TIME. CURRENT BAG IS RIPPED INTO WITH MULTIPLE HOLES AND GARBAGE SCATTERED AROUND IT.,1,"8518 W TOWNSEND ST, MILWAUKEE, WI, 53222-3748","c(-88.01948724688, 43.080897323359)",79,KOPS PARK,6,CLOSED
51,2025-07-30T00:00:00Z,"453 E LINCOLN AV, MILWAUKEE, WI, 53207-1756","BRUSH PICKUP REQUEST, LESS THAN 2 CUBIC YARDS, APRIL-NOVEMBER",NA,"I JUST HAVE SOME VARIOUS BRANCHES AND WEEDS THAT ARE PACKED INTO AN ALUMINUM CONTAINER AND A BOX,, AS WELL AS AN OLD TARP TO DISPOSE OF!",7,"453 E LINCOLN AV, MILWAUKEE, WI, 53207-1756","c(-87.903158500746, 43.00269353809)",8,BAY VIEW,6,OPEN
52,2025-07-30T00:00:00Z,"200 S 6TH ST, MILWAUKEE, WI, 53204-0000",AREA DARK,NA,LOTS OF LIGHTS OUT SOUTH OF CANAL ST,7,"200 S 6TH ST, MILWAUKEE, WI, 53204-0000","c(-87.917803613431, 43.029483399833)",173,WALKER'S POINT,5,OPEN
53,2025-07-30T00:00:00Z,"103 N 6TH ST, MILWAUKEE, WI, 53203-0000",AREA DARK,2025-07-31T00:00:00Z,LOTS OF LIGHTS OUT NORTH OF CANAL ST,1,"103 N 6TH ST, MILWAUKEE, WI, 53203-0000","c(-87.918638113368, 43.031437586967)",102,MENOMONEE RIVER VALLEY,6,CLOSED
54,2025-07-30T00:00:00Z,"5375 N SHERMAN BL, MILWAUKEE, WI, 53209-4646",AREA DARK,NA,BETWEEN CUSTER AND SILVER SPRING ON SHERMAN,7,"5375 N SHERMAN BL, MILWAUKEE, WI, 53209-4646","c(-87.966811176374, 43.115401092505)",97,MC GOVERN PARK,6,OPEN
55,2025-07-30T00:00:00Z,"3937 N SHERMAN BL, MILWAUKEE, WI, 53216-2448",AREA DARK,NA,NA,7,"3937 N SHERMAN BL, MILWAUKEE, WI, 53216-2448","c(-87.96759496814, 43.0887325169)",140,ROOSEVELT GROVE,4,OPEN
56,2025-07-30T00:00:00Z,"3337 N 94TH ST, MILWAUKEE, WI, 53222-3520","BRUSH PICKUP REQUEST, LESS THAN 2 CUBIC YARDS, APRIL-NOVEMBER",NA,NA,7,"3337 N 94TH ST, MILWAUKEE, WI, 53222-3520","c(-88.030229242533, 43.079559152517)",46,GOLDEN VALLEY,6,OPEN
57,2025-07-30T00:00:00Z,"2217 W GRANGE AV, MILWAUKEE, WI, 53221-4240","BRUSH PICKUP REQUEST, LESS THAN 2 CUBIC YARDS, APRIL-NOVEMBER",NA,NA,7,"2217 W GRANGE AV, MILWAUKEE, WI, 53221-4240","c(-87.942206602517, 42.944513951868)",29,COPERNICUS PARK,6,OPEN
58,2025-07-30T00:00:00Z,"8232 W WINFIELD AV, MILWAUKEE, WI, 53218-1049",GARBAGE CART: ADDITIONAL,NA,WHO IT MAY CONCERN I AM REQUESTING ANOTHER GARBAGE CAN DUE TO ME HAVING LOTS OF TRASH THAT I HAVE TO SIT ON THE SIDE OF THE GARBAGE CART THAT ALREADY HAVE,7,"8232 W WINFIELD AV, MILWAUKEE, WI, 53218-1049","c(-88.014258699498, 43.133168045028)",99,MENOMONEE RIVER HILLS,6,OPEN
59,2025-07-30T00:00:00Z,3375 S PENNSYLVANIA AV,"BRUSH PICKUP REQUEST, LESS THAN 2 CUBIC YARDS, APRIL-NOVEMBER",NA,NA,7,"3375 S PENNSYLVANIA AV, MILWAUKEE, WI","c(-87.879887571502, 42.982920586589)",39,FERNWOOD,6,OPEN
60,2025-07-30T00:00:00Z,"2254 S 34TH ST, MILWAUKEE, WI, 53215-2354",SCATTERED LITTER AND DEBRIS ON PRIVATE PROPERTY,2025-07-30T00:00:00Z,YARDWASTE AND SCATTERED TRASH BEHIND PROPERTY AND NEEDS TO BE REMOVED.,0,"2254 S 34TH ST, MILWAUKEE, WI, 53215-2354","c(-87.956380316967, 43.003566890491)",82,LAYTON PARK,6,CLOSED
61,2025-07-30T00:00:00Z,"2723 S 46TH ST, MILWAUKEE, WI, 53219-3207",BROKEN BRANCH DOWN - NOT BLOCKING,2025-07-30T00:00:00Z,NA,0,"2723 S 46TH ST, MILWAUKEE, WI, 53219-3207","c(-87.971790613593, 42.995100372003)",73,JACKSON PARK,6,CLOSED
62,2025-07-30T00:00:00Z,"3137 S 34TH ST, MILWAUKEE, WI, 53215-4236",SCATTERED LITTER AND DEBRIS ON PRIVATE PROPERTY,NA,BAG OF YARDWASTE,7,"3137 S 34TH ST, MILWAUKEE, WI, 53215-4236","c(-87.957187075148, 42.987579332193)",73,JACKSON PARK,6,OPEN
63,2025-07-30T00:00:00Z,"3616 W OKLAHOMA AV, MILWAUKEE, WI, 53215-0000",SCATTERED LITTER AND DEBRIS ON PRIVATE PROPERTY,NA,SCATTERED DEBRIS,7,"3616 W OKLAHOMA AV, MILWAUKEE, WI, 53215-0000","c(-87.959908679109, 42.988687629341)",73,JACKSON PARK,6,OPEN
64,2025-07-30T00:00:00Z,"1391 N 58TH ST, MILWAUKEE, WI, 53208-0000",POTHOLES,NA,"I HAVE LIVED IN THE WASHINGTON HEIGHTS AREA ON AND OFF SINCE 1992 OWNING A HOME ON 60TH STREET FOR 14 YEARS. FOR PAST 8 YEARS SINCE COMING BACK TO MILWAUKEE AND NEIGHBOR HOOD I HAVE RESIDED ON THE CORNER OF 58TH AND VLIET IN A 4 FAMILY RENTAL UNIT. . 58TH STREET ALONG WITH BOTH 57TH STREET, AND 59TH STREET ARE  AND HAVE BEEN IN DEPLORABLE CONDITION. SEVERAL TIMES I HAVE CONTACTED ALDERMAN MURPHY BEFORE HIS RETIREMENT TO REPORT SOME HUGE POT HOLES AND GENERALLY HAZARDOUS CONDITIONS OF THE STREETS, IN PARTICULAR 58TH STREET FROM VLIET STREET SOUTH TO THE ENTRANCE TO HAWTHORNE GLEN PARK. ALDERMAN MURPHY ALWAYS RESPONDED BY SENDING OUT A DPW CREW TO PATCH UP THE WORST OF THE POT HOLES AND TERRIBLE CONDITION OF 58TH STREET ONLY TO HAVE THE PATCHES QUICKLY DISAPPEAR OR JUST PLACING A BAND AIDE ON A MUCH MORE SEVERE GENERAL STREET CONDITION. THERE IS NO WAY TO DRIVE DOWN 58TH SOUTH FROM VLIET STREET AVOIDING MULTIPLE POT HOLES AND GENERALLY TERRIBLE ROAD SURFACE. ARE THERE ANY PLANS TO AT LEAST CONSIDER THE LESS COSTLY RESURFACING PROCESS THAT THE CITY HAS EMPLOYED ON CERTAIN STREETS IN THE CITY TO APPLY A SMOOTHER AND SAGER DRIVING SERVICE WITHOUT COMPLETE STREET, CURB, SIDEWALK REPLACEMENT. ITS TRULY A SITUATION THAT HAS GONE ON FAR TOO LONG AND I WILL BEGIN TO GATHER SIGNATURES OR TESTIMONIES FROM MY NEIGHBORS TO VALIDATE MY CONCERNS. WOULD BE GRATEFUL FOR ANY RESPONSE FROM ALDERMAN OR THE DPW DIVISION RESPONSIBLE FOR SUCH MATTERS. THANK YOU. STEVE HOOSER 1391 N. 58TH ST. #1 414-975-4564 EMAIL, STEPHENHOOSER53@GMAIL.COM 
THE ACTUAL STREETS ARE 57, 58TH, AND 59TH STREETS FROM VLIET SOUTH TO MCKINLEY.",7,"1391 N 58TH ST, MILWAUKEE, WI, 53208-0000","c(-87.985510531806, 43.049594896403)",62,HAWTHORNE GLEN,6,OPEN
65,2025-07-30T00:00:00Z,"6097 N 39TH ST, MILWAUKEE, WI, 53209-3507",COLLECTION SCHEDULE - GARBAGE AND RECYCLING,NA,LELANASH@HOTMAIL.COM,7,"6097 N 39TH ST, MILWAUKEE, WI, 53209-3507","c(-87.961210388672, 43.128794535589)",37,FAIRFIELD,6,OPEN
